SMI_Idx,Smiles,Products
54,[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][cH:9]1)[CH2:10][CH2:11][CH2:12][N:13]2[CH2:14][CH2:15][C:16]([OH:17])([c:18]3[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]3)[CH2:25][CH2:26]2,"['O=[CH]CCC(=O)c1ccc(F)cc1', 'OC1(c2ccc(Cl)cc2)CCNCC1']"
55,[O:1]=[C:2]1[NH:3][C:4](=[O:5])[C:6]([C:7](=[O:8])[NH:9]1)([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[CH2:16][CH3:17],['CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O']
56,[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]2[c:12]([cH:13]1)[CH2:14][NH:15][CH3:16],"['CNCc1cc(=O)oc2cc(O)ccc12', '[CH2]=O', 'COc1ccc2c(CN)cc(=O)oc2c1']"
57,[O:1]=[C:2]([c:3]1[cH:4][c:5]2[cH:6][c:7]([cH:8][cH:9][c:10]2[nH:11]1)[NH:12][S:13](=[O:14])(=[O:15])[CH3:16])[N:17]3[CH2:18][CH2:19][N:20]([c:21]4[n:22][cH:23][cH:24][cH:25][c:26]4[NH:27][CH:28]([CH3:29])[CH3:30])[CH2:31][CH2:32]3,"['C[C](C)=O', 'CS(=O)(=O)Nc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4N)CC3)cc2c1']"
58,[O:1]=[c:2]1[c:3]([NH:4][CH3:5])[c:6]([n:7]([n:8]1-[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH3:15])[CH3:16],"['[CH2]=O', 'Cc1c(N)c(=O)n(-c2ccccc2)n1C']"
59,[CH3:1][c:2]1[c:3]([C:7](=[O:8])[NH:9][c:10]2[cH:11][cH:12][c:13]([C:16]([F:17])([F:18])[F:19])[cH:14][cH:15]2)[cH:4][n:5][o:6]1,"['Cc1oncc1C(O)Nc1ccc(C(F)(F)F)cc1', 'Cc1oncc1C(=O)O', 'Nc1ccc(C(F)(F)F)cc1']"
60,[CH3:1][O:2][P@SP3:3](=[S:4])([O:5][CH3:6])[S:7][CH2:8][n:9]1[n:10][n:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[c:18]1=[O:19],['CO[P@SP](=O)(OC)SCn1nnc2ccccc2c1=O']
61,[NH:1]([C:2](=[O:3])[CH2:4][S:5][P@SP1:6](=[S:7])([O:8][CH3:9])[O:10][CH3:11])[CH3:12],['CNC(=O)CS[P@SP](=O)(OC)OC']
62,[cH:1]1[c:2]([O:3][P@SP1:4](=[S:5])([O:6][CH3:7])[O:8][CH3:9])[cH:10][c:11]([CH3:16])[c:12]([S:13][CH3:14])[cH:15]1,['CO[P@SP](=O)(OC)Oc1ccc(SC)c(C)c1']
63,[CH3:1][C:2]1=[C:3]([C:25](=[O:26])[O:27][CH3:28])[CH:4]([c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]2[N+:22](=[O:23])[O-:24])[C:5]([C:9](=[O:10])[O:11][CH2:12][CH:13]([CH3:14])[CH3:15])=[C:6]([CH3:8])[NH:7]1,"['[CH2]=O', 'CC1=C(C(=O)O)C(c2ccccc2[N+](=O)[O-])C(C(=O)OCC(C)C)=C(C)N1', 'C1=CC=NC=C1']"
64,[O:1]=[N:3][N:2]1[C@@H:5]([c:9]2[cH:10][cH:12][cH:13][n:4][cH:11]2)[CH2:6][CH2:7][CH2:8]1,"['O=NNCCC[C@@](=O)c1cccnc1', 'O=[CH]CC[C@@H](NN=O)c1cccnc1']"
65,[Cl:1][CH2:2][CH2:3][Cl:4],['OCCCl']
66,[O:1]([CH2:2][CH3:3])[CH2:4][CH3:5],"['CCO', 'C[CH]=O']"
